SPX Index,,,MXEM US Equity,,,MXWD US Equity,,,MXJP US Equity,,,MXEA US Equity,,,MXEU US Equity,,,MXASJ US Equity,,,RTY US Equity,
Date,SPX Index - TRND,,Date,MXEM Index - TRND,,Date,MXWD Index - TRND,,Date,MXJP Index - TRND,,Date,MXEA Index - TRND,,Date,MXEU Index - TRND,,Date,MXASJ Index - TRND,,Date,RTY Index - TRND
1/31/83,170.6969,,,,,,,,,,,,,,,,,,,,,
2/28/83,174.6089,,,,,,,,,,,,,,,,,,,,,
3/31/83,181.0597,,,,,,,,,,,,,,,,,,,,,
4/29/83,195.3234,,,,,,,,,,,,,,,,,,,,,
5/31/83,193.6246,,,,,,,,,,,,,,,,,,,,,
6/30/83,201.1602,,,,,,,,,,,,,,,,,,,,,
7/29/83,195.2251,,,,,,,,,,,,,,,,,,,,,
8/31/83,198.1554,,,,,,,,,,,,,,,,,,,,,
9/30/83,200.8915,,,,,,,,,,,,,,,,,,,,,
10/31/83,198.5689,,,,,,,,,,,,,,,,,,,,,
11/30/83,202.7576,,,,,,,,,,,,,,,,,,,,,
12/30/83,201.6975,,,,,,,,,,,,,,,,,,,,,
1/31/84,200.5724,,,,,,,,,,,,,,,,,,,,,
2/29/84,193.5148,,,,,,,,,,,,,,,,,,,,,
3/30/84,196.8661,,,,,,,,,,,,,,,,,,,,,
4/30/84,198.7336,,,,,,,,,,,,,,,,,,,,,
5/31/84,187.7322,,,,,,,,,,,,,,,,,,,,,
6/29/84,191.8098,,,,,,,,,,,,,,,,,,,,,
7/31/84,189.4306,,,,,,,,,,,,,,,,,,,,,
8/31/84,210.3527,,,,,,,,,,,,,,,,,,,,,
9/28/84,210.4032,,,,,,,,,,,,,,,,,,,,,
10/31/84,211.2139,,,,,,,,,,,,,,,,,,,,,
11/30/84,208.8486,,,,,,,,,,,,,,,,,,,,,
12/31/84,214.3513,,,,,,,,,,,,,,,,,,,,,
1/31/85,231.0519,,,,,,,,,,,,,,,,,,,,,
2/28/85,233.8816,,,,,,,,,,,,,,,,,,,,,
3/29/85,234.0366,,,,,,,,,,,,,,,,,,,,,
4/30/85,233.8163,,,,,,,,,,,,,,,,,,,,,
5/31/85,247.3255,,,,,,,,,,,,,,,,,,,,,
6/28/85,251.2008,,,,,,,,,,,,,,,,,,,,,
7/31/85,250.8341,,,,,,,,,,,,,,,,,,,,,
8/30/85,248.6795,,,,,,,,,,,,,,,,,,,,,
9/30/85,240.9012,,,,,,,,,,,,,,,,,,,,,
10/31/85,252.0281,,,,,,,,,,,,,,,,,,,,,
11/29/85,269.315,,,,,,,,,,,,,,,,,,,,,
12/31/85,282.3432,,,,,,,,,,,,,,,,,,,,,
1/31/86,283.9201,,,,,,,,,,,,,,,,,,,,,
2/28/86,305.1423,,,,,,,,,,,,,,,,,,,,,
3/31/86,322.1664,,,,,,,,,,,,,,,,,,,,,
4/30/86,318.5388,,,,,,,,,,,,,,,,,,,,,
5/30/86,335.4856,,,,,,,,,,,,,,,,,,,,,
6/30/86,341.155,,,,,,,,,,,,,,,,,,,,,
7/31/86,322.0735,,,,,,,,,,,,,,,,,,,,,
8/29/86,345.9575,,,,,,,,,,,,,,,,,,,,,
9/30/86,317.3569,,,,,,,,,,,,,,,,,,,,,
10/31/86,335.6585,,,,,,,,,,,,,,,,,,,,,
11/28/86,343.8168,,,,,,,,,,,,,,,,,,,,,
12/31/86,335.0427,,,,,,,,,,,,,,,,,,,,,
1/30/87,380.1587,,,,,,,,,,,,,,,,,,,,,
2/27/87,395.1803,,,,,,,,,,,,,,,,,,,,,
3/31/87,406.5824,,,,,,,,,,,,,,,,,,,,,
4/30/87,402.9724,,,,,,,,,,,,,,,,,,,,,
5/29/87,406.466,,,,,,,,,,,,,,,,,,,,,
6/30/87,426.9925,,,,,,,,,,,,,,,,,,,,,
7/31/87,448.623,,,,,,,,,,,,,,,,,,,,,
8/31/87,465.3623,,,,,,,,,,,,,,,,,,,,,
9/30/87,455.1604,,,,,,,,,,,,,,,,,,,,,
